Nazwa pliku: Data/tsp_6_1.txt
Powtórzenia algorytmu: 100
Optymalny koszt: 132
Otrzymany koszt: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[s] ;Rozwi¹zania dla 1 minimalnej temperatury
Rozwi¹zania dla 1000 inicjalizacyjnej temperatury
Rozwi¹zania dla 2500 iloœci epok
132 ; 0 ; 0.265913 ; 
132 ; 0 ; 0.254282 ; 
132 ; 0 ; 0.243188 ; 
132 ; 0 ; 0.243472 ; 
132 ; 0 ; 0.245615 ; 
132 ; 0 ; 0.267772 ; 
132 ; 0 ; 0.267891 ; 
132 ; 0 ; 0.254089 ; 
132 ; 0 ; 0.246434 ; 
132 ; 0 ; 0.244504 ; 
132 ; 0 ; 0.246527 ; 
132 ; 0 ; 0.244683 ; 
132 ; 0 ; 0.243429 ; 
132 ; 0 ; 0.247025 ; 
132 ; 0 ; 0.244411 ; 
132 ; 0 ; 0.242557 ; 
132 ; 0 ; 0.244398 ; 
132 ; 0 ; 0.243005 ; 
132 ; 0 ; 0.243969 ; 
132 ; 0 ; 0.243387 ; 
132 ; 0 ; 0.243632 ; 
132 ; 0 ; 0.246291 ; 
132 ; 0 ; 0.246163 ; 
132 ; 0 ; 0.247765 ; 
132 ; 0 ; 0.245252 ; 
132 ; 0 ; 0.243435 ; 
132 ; 0 ; 0.242699 ; 
132 ; 0 ; 0.24408 ; 
132 ; 0 ; 0.247009 ; 
132 ; 0 ; 0.242352 ; 
132 ; 0 ; 0.243573 ; 
132 ; 0 ; 0.247271 ; 
132 ; 0 ; 0.243069 ; 
132 ; 0 ; 0.250942 ; 
132 ; 0 ; 0.247325 ; 
132 ; 0 ; 0.243599 ; 
132 ; 0 ; 0.242803 ; 
132 ; 0 ; 0.244282 ; 
132 ; 0 ; 0.243734 ; 
132 ; 0 ; 0.245634 ; 
132 ; 0 ; 0.24571 ; 
132 ; 0 ; 0.24266 ; 
132 ; 0 ; 0.241987 ; 
132 ; 0 ; 0.244134 ; 
132 ; 0 ; 0.242601 ; 
132 ; 0 ; 0.242547 ; 
132 ; 0 ; 0.242669 ; 
132 ; 0 ; 0.243082 ; 
132 ; 0 ; 0.246653 ; 
132 ; 0 ; 0.243277 ; 
132 ; 0 ; 0.242113 ; 
132 ; 0 ; 0.243378 ; 
132 ; 0 ; 0.242938 ; 
132 ; 0 ; 0.243112 ; 
132 ; 0 ; 0.241556 ; 
132 ; 0 ; 0.245128 ; 
132 ; 0 ; 0.242793 ; 
132 ; 0 ; 0.245952 ; 
132 ; 0 ; 0.244725 ; 
132 ; 0 ; 0.242701 ; 
132 ; 0 ; 0.243002 ; 
132 ; 0 ; 0.243336 ; 
132 ; 0 ; 0.244211 ; 
132 ; 0 ; 0.245165 ; 
132 ; 0 ; 0.242844 ; 
132 ; 0 ; 0.244697 ; 
132 ; 0 ; 0.2442 ; 
132 ; 0 ; 0.24364 ; 
132 ; 0 ; 0.243046 ; 
132 ; 0 ; 0.24682 ; 
132 ; 0 ; 0.243114 ; 
132 ; 0 ; 0.241982 ; 
132 ; 0 ; 0.246499 ; 
132 ; 0 ; 0.246443 ; 
132 ; 0 ; 0.246257 ; 
132 ; 0 ; 0.243194 ; 
132 ; 0 ; 0.242829 ; 
132 ; 0 ; 0.24206 ; 
132 ; 0 ; 0.244062 ; 
132 ; 0 ; 0.242953 ; 
132 ; 0 ; 0.243719 ; 
132 ; 0 ; 0.242252 ; 
132 ; 0 ; 0.247308 ; 
132 ; 0 ; 0.250085 ; 
132 ; 0 ; 0.24431 ; 
132 ; 0 ; 0.243431 ; 
132 ; 0 ; 0.244691 ; 
132 ; 0 ; 0.243241 ; 
132 ; 0 ; 0.243684 ; 
132 ; 0 ; 0.241678 ; 
132 ; 0 ; 0.244498 ; 
132 ; 0 ; 0.24326 ; 
132 ; 0 ; 0.243409 ; 
132 ; 0 ; 0.242343 ; 
132 ; 0 ; 0.237502 ; 
132 ; 0 ; 0.234548 ; 
132 ; 0 ; 0.234614 ; 
132 ; 0 ; 0.234093 ; 
132 ; 0 ; 0.236567 ; 
132 ; 0 ; 0.235487 ; 
Œredni czas wykonywania algorytmu [s]:  ; 0.244582
Œredni wspó³czynnik b³êdu [%]:  ; 0
Optymalny koszt:  ; 132

Nazwa pliku: Data/tsp_6_2.txt
Powtórzenia algorytmu: 100
Optymalny koszt: 80
Otrzymany koszt: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[s] ;Rozwi¹zania dla 1 minimalnej temperatury
Rozwi¹zania dla 1000 inicjalizacyjnej temperatury
Rozwi¹zania dla 2500 iloœci epok
80 ; 0 ; 0.24152 ; 
80 ; 0 ; 0.238383 ; 
80 ; 0 ; 0.245058 ; 
80 ; 0 ; 0.239785 ; 
80 ; 0 ; 0.241719 ; 
80 ; 0 ; 0.246103 ; 
80 ; 0 ; 0.240749 ; 
80 ; 0 ; 0.240689 ; 
80 ; 0 ; 0.239734 ; 
80 ; 0 ; 0.244929 ; 
